symbol,entry_price,exit_price,quantity,pnl,pnl_pct,entry_time,exit_time,score,profit_target,exit_reason
CROWN,112.70999908447266,114.4800033569336,24,42.4801025390625,0.01570405719846004,2026-07-02 11:06:04.726302,2026-07-02 12:36:06.469815,7,0.03,[TIME] Exit (+1.57%)
AVADHSUGAR,482.0,489.0,2,14.0,0.014522821576763486,2026-07-02 11:06:04.730557,2026-07-02 12:36:06.927170,7,0.03,[TIME] Exit (+1.45%)
BHAGCHEM,288.6499938964844,281.5,6,-42.89996337890625,-0.02477046266298729,2026-07-02 11:06:04.728523,2026-07-02 14:59:35.801232,7,0.03,[STOP] Loss (-2.48%)
