symbol,entry_price,exit_price,quantity,pnl,pnl_pct,entry_time,exit_time,score,exit_reason
NTPC,356.3999938964844,360.1000061035156,2,7.4000244140625,0.010381628143646689,2026-07-01 09:17:11.967830,2026-07-01 11:08:11.075201,7,[TIME] Exit (+1.04%)
PFC,427.0,431.70001220703125,9,42.30010986328125,0.011007054349019321,2026-07-01 09:15:06.455830,2026-07-01 11:22:50.613413,8,[TIME] Exit (+1.10%)
ITC,287.8999938964844,290.8500061035156,7,20.65008544921875,0.010246656024910993,2026-07-01 09:17:11.967830,2026-07-01 13:39:16.485583,8,[TIME] Exit (+1.02%)
ITC,287.75,290.8500061035156,2,6.20001220703125,0.010773261871470461,2026-07-01 09:19:17.726875,2026-07-01 13:39:16.565198,8,[TIME] Exit (+1.08%)
