timestamp,symbol,action,quantity,entry_price,trade_value,gross_target_percent,target_price,stop_loss,fixed_costs,total_costs,net_profit_target,net_profit_percent,confidence_score,signals,atr,trailing_stop_activation,mode
2026-06-20T11:01:39.419562,TATASTEEL,BUY,6,199.17999267578125,1195.0799560546875,7.99,215.09,196.19,47.2,47.628436164245606,47.8,4.0,3,"['uptrend_MA', 'volume_spike', 'above_200_ema']",0.3478567940848214,201.17,ENHANCED_PAPER
2026-06-22T06:29:10.829058,TATASTEEL,BUY,6,199.17999267578125,1195.0799560546875,7.99,215.09,196.19,47.2,47.628436164245606,47.8,4.0,3,"['uptrend_MA', 'volume_spike', 'above_200_ema']",0.3478567940848214,201.17,ENHANCED_PAPER
2026-06-22T19:11:30.375330,PNB,BUY,11,109.62000274658205,1205.8200302124023,7.95,118.34,107.98,47.2,47.63228648083115,48.23,4.0,3,"['uptrend_MA', 'volume_spike', 'above_200_ema']",0.1564282008579799,110.72,ENHANCED_PAPER
2026-06-23T07:18:43.160281,PNB,BUY,11,109.62000274658203,1205.8200302124023,7.95,118.34,107.98,47.2,47.63228648083115,48.23,4.0,3,"['uptrend_MA', 'volume_spike', 'above_200_ema']",0.1564282008579799,110.72,ENHANCED_PAPER
